,TF-IDF
друг друг,0.09720250522200767
белый ночь,0.05743784399482271
душа мой,0.04418295691909439
черный пудель,0.04418295691909439
тот пора,0.03976466122718495
скворец прилетать,0.03976466122718495
сердце мой,0.03976466122718495
барак говорить,0.03976466122718495
мой сердце,0.035346365535275516
алайский рынок,0.035346365535275516
оставаться кроме,0.035346365535275516
год лебединый,0.035346365535275516
знать знать,0.030928069843366077
каждый день,0.030928069843366077
каждый четвертый,0.030928069843366077
милый милый,0.030928069843366077
все равный,0.030928069843366077
идти солдат,0.030928069843366077
видеть видеть,0.030928069843366077
друг мой,0.030928069843366077
черный море,0.026509774151456635
твой рука,0.026509774151456635
нравиться это,0.026509774151456635
быть себя,0.026509774151456635
подумать черный,0.026509774151456635
родимый земля,0.026509774151456635
все глядеть,0.026509774151456635
жизнь смерть,0.026509774151456635
спиливать весна,0.026509774151456635
давать почитать,0.026509774151456635
твой глаз,0.026509774151456635
земля небо,0.026509774151456635
мой друг,0.026509774151456635
глядеть глаз,0.022091478459547197
твой душа,0.022091478459547197
гроздь душистый,0.022091478459547197
дом резной,0.022091478459547197
целость сохранность,0.022091478459547197
ради бог,0.022091478459547197
мена расфасовывать,0.022091478459547197
дорога идти,0.022091478459547197
утро росный,0.022091478459547197
махнуть глядеть,0.022091478459547197
подавать ради,0.022091478459547197
маленький бог,0.022091478459547197
безымянный высота,0.022091478459547197
отдельность исправность,0.022091478459547197
душа твой,0.022091478459547197
березовый сок,0.022091478459547197
ночь петербургский,0.022091478459547197
лет лебединый,0.022091478459547197
петербургский альманах,0.022091478459547197
загипсовать каждый,0.022091478459547197
слава бог,0.022091478459547197
каждый член,0.022091478459547197
кроме патимат,0.022091478459547197
резной палисад,0.022091478459547197
белый акация,0.022091478459547197
расфасовывать отдельность,0.022091478459547197
начинаться родина,0.022091478459547197
любить любить,0.022091478459547197
акация гроздь,0.022091478459547197
член мена,0.022091478459547197
лебединый лет,0.022091478459547197
исправность целость,0.022091478459547197
белый свет,0.022091478459547197
какой счастие,0.017673182767637758
вологдегде дом,0.017673182767637758
вологдегдегдегде вологдегде,0.017673182767637758
грудь мой,0.017673182767637758
высокий долина,0.017673182767637758
песня свой,0.017673182767637758
новый год,0.017673182767637758
песня петь,0.017673182767637758
лишь миг,0.017673182767637758
весна приносить,0.017673182767637758
протягивать рука,0.017673182767637758
прошлое будущее,0.017673182767637758
берег крутой,0.017673182767637758
тот который,0.017673182767637758
фронт говорить,0.017673182767637758
всетака поэт,0.017673182767637758
горе ты,0.017673182767637758
ребята ребята,0.017673182767637758
ребята скворец,0.017673182767637758
темноглазый вологдегдегдегде,0.017673182767637758
все тот,0.017673182767637758
свой старый,0.017673182767637758
крыло весна,0.017673182767637758
это это,0.017673182767637758
ночь день,0.017673182767637758
блокадный день,0.017673182767637758
город пуканец,0.017673182767637758
любовь любовь,0.017673182767637758
